address	class	file	action	baseline	new_status	behaviour	reason
0088e500	CGameScriptInterface	CGameScriptInterface_FixMovieSequenceCamera_0088e500.cpp	skip				NO_STRUCT
0088e520	CGameScriptInterface	CGameScriptInterface_EndCutFadeCGameScriptInterfaceUAEXXZ_0088e520.cpp	applied	RELOCATION_MATCH	RELOCATION_MATCH	PASS	APPLIED(test kept)
0088e6f0	CGameScriptInterface	CGameScriptInterface_AreEntitiesEnemies_0088e6f0.cpp	skip				NO_THIS_STRUCT
0088e910	CGameScriptInterface	CGameScriptInterface_SetAllowScreenFadingOnNextRegionChange_0088e910.cpp	applied	MATCH	MATCH	PASS	APPLIED
0088e920	CGameScriptInterface	CGameScriptInterface_SetAllowScreenFadingIfAlreadyFaded_0088e920.cpp	skip	MATCH	DIFFER(15v10)		PARITY_CHANGED(MATCH->DIFFER(15v10))
0088e930	CGameScriptInterface	CGameScriptInterface_SetToDisplayTutorialsDuringCutscenes_0088e930.cpp	skip				NO_THIS_STRUCT
0088e950	CGameScriptInterface	CGameScriptInterface_StartProgressDisplay_0088e950.cpp	skip				NO_STRUCT
0088e9e0	CGameScriptInterface	CGameScriptInterface_IsInMovieSequence_0088e9e0.cpp	applied	MATCH	MATCH	PASS	APPLIED
0088ec60	CGameScriptInterface	CGameScriptInterface_SetHeroGuideToShowQuestCardsWhenSpokenTo_0088ec60.cpp	applied	MATCH	MATCH	PASS	APPLIED(test kept)
0088ec70	CGameScriptInterface	CGameScriptInterface_EntityClearMaxNumberOfAttackers_0088ec70.cpp	skip				NOT_GENUINE
0088ec90	CGameScriptInterface	CGameScriptInterface_CameraSetCameraPreloadFlag_0088ec90.cpp	applied	MATCH	MATCH	PASS	APPLIED
0088ecc0	CGameScriptInterface	CGameScriptInterface_IsCameraInScriptedMode_0088ecc0.cpp	applied	RELOCATION_MATCH	RELOCATION_MATCH	PASS	APPLIED
0088ece0	CGameScriptInterface	CGameScriptInterface_CameraShake_0088ece0.cpp	applied	RELOCATION_MATCH	RELOCATION_MATCH	PASS	APPLIED
0088ed20	CGameScriptInterface	CGameScriptInterface_CameraEarthquakeIntensityAtPos_0088ed20.cpp	skip				NO_EXACT_MAP(+0x0 x vptr)
0088eda0	CGameScriptInterface	CGameScriptInterface_CameraUseScreenEffect_0088eda0.cpp	skip				NO_STRUCT
0088edb0	CGameScriptInterface	CGameScriptInterface_CameraCancelScreenEffect_0088edb0.cpp	skip				NO_STRUCT
0088f3e0	CGameScriptInterface	CGameScriptInterface_IsTutorialSystemEnabled_0088f3e0.cpp	skip				NO_THIS_STRUCT
0088f400	CGameScriptInterface	CGameScriptInterface_SetCreatureGeneratorsCreatureGroupAsEnabled_0088f400.cpp	skip				NO_THIS_STRUCT
0088f410	CGameScriptInterface	CGameScriptInterface_SetTeleportingAsActive_0088f410.cpp	applied	MATCH	MATCH	PASS	APPLIED
0088f420	CGameScriptInterface	CGameScriptInterface_IsTeleportingActive_0088f420.cpp	applied	MATCH	MATCH	PASS	APPLIED(test kept)
0088f430	CGameScriptInterface	CGameScriptInterface_SetRegionTextDisplayAsActive_0088f430.cpp	applied	MATCH	MATCH	PASS	APPLIED(test kept)
0088f440	CGameScriptInterface	CGameScriptInterface_SetHeroSleepingAsEnabled_0088f440.cpp	applied	MATCH	MATCH	PASS	APPLIED
0088f450	CGameScriptInterface	CGameScriptInterface_IsHeroSleepingEnabled_0088f450.cpp	applied	MATCH	MATCH	PASS	APPLIED
0088f460	CGameScriptInterface	CGameScriptInterface_SetExperienceSpendingAsEnabled_0088f460.cpp	applied	MATCH	MATCH	PASS	APPLIED
0088f470	CGameScriptInterface	CGameScriptInterface_SetSummonerDeathExplosionAffectsHero_0088f470.cpp	applied	MATCH	MATCH	PASS	APPLIED
0088f4a0	CGameScriptInterface	CGameScriptInterface_EnableDecals_0088f4a0.cpp	applied	RELOCATION_MATCH	RELOCATION_MATCH	PASS	APPLIED(test kept)
0088f560	CGameScriptInterface	CGameScriptInterface_EntityCastLightningAtTarget_0088f560.cpp	applied	MATCH	MATCH	PASS	APPLIED(test kept)
0088f610	CGameScriptInterface	CGameScriptInterface_IsSoundPlaying_0088f610.cpp	skip				NO_THIS_STRUCT
0088f620	CGameScriptInterface	CGameScriptInterface_EnableSounds_0088f620.cpp	applied	RELOCATION_MATCH	RELOCATION_MATCH	PASS	APPLIED
0088f660	CGameScriptInterface	CGameScriptInterface_StopSound_0088f660.cpp	skip				NO_STRUCT
0088f6b0	CGameScriptInterface	CGameScriptInterface_EntitySetStategroupEnabled_0088f6b0.cpp	skip				VTABLE_TYPED(vt)
0088f6e0	CGameScriptInterface	CGameScriptInterface_EntitySetAllStategroupsEnabled_0088f6e0.cpp	skip				NO_THIS_STRUCT
0088f710	CGameScriptInterface	CGameScriptInterface_EntitySetCombatEnabled_0088f710.cpp	skip				NO_THIS_STRUCT
0088f7d0	CGameScriptInterface	CGameScriptInterface_EntitySetSleepEnabled_0088f7d0.cpp	skip	RELOCATION_MATCH	SRC_FAIL		PARITY_CHANGED(RELOCATION_MATCH->SRC_FAIL)
0088f810	CGameScriptInterface	CGameScriptInterface_EntitySetOpinionReactionsEnabled_0088f810.cpp	skip				VTABLE_TYPED(vt)
0088f850	CGameScriptInterface	CGameScriptInterface_EntitySetDeedReactionsEnabled_0088f850.cpp	skip				VTABLE_TYPED(vt)
0088f890	CGameScriptInterface	CGameScriptInterface_PlayAVIMovie_0088f890.cpp	skip				NO_THIS_STRUCT
