rank	address	api_names	qualified_name	module	match_status	owner_relevance	prototype_complete	calling_convention	return_type	parameter_types	score	verification_stage	engine_implementation_verified	hook_approved	bridge_kind	arity_compatible	evidence
316	0x00898B30	Quest.SetWeaponAsHerosActiveWeapon	CGameScriptInterface::SetWeaponAsHerosActiveWeapon	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
317	0x0088F660	Quest.StopSound	CGameScriptInterface::StopSound	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,ulong	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
318	0x00898DB0	Quest.TakeObjectFromHero	CGameScriptInterface::TakeObjectFromHero	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
319	0x00891800	Quest.TellHeroQuestObjectiveCompleted	CGameScriptInterface::TellHeroQuestObjectiveCompleted	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,ulong	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
320	0x00891810	Quest.TellHeroQuestObjectiveFailed	CGameScriptInterface::TellHeroQuestObjectiveFailed	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,ulong	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
321	0x0088FF30	Quest.TransitionToThemeAllInternals	CGameScriptInterface::TransitionToThemeAllInternals	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,float	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
322	0x0088FFB0	Quest.TransitionToThemeExternals	CGameScriptInterface::TransitionToThemeExternals	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,float	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
323	0x00897150	Quest.UnSetThingAndCarriedItemsNotAffectedByScreenFilter	CGameScriptInterface::UnSetThingAndCarriedItemsNotAffectedByScreenFilter	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CScriptThing &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
324	0x00891B80	Quest.UpdateQuestInfoBar	CGameScriptInterface::UpdateQuestInfoBar	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,long,float,float,float	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
325	0x00891BD0	Quest.UpdateQuestInfoCounter	CGameScriptInterface::UpdateQuestInfoCounter	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,long,long,long	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
