rank	track	module	score	catalog_functions	prototype_complete	prototype_gaps	calling_convention_unknown	naming_review	agent_candidates	verified_lifts
157	candidate-cluster	NCreatureMode::CModeCarryingWeaponStand	409995	5	0	5	5	0	5	0
158	candidate-cluster	NCreatureMode::CModeDragonStrafe	409995	5	0	5	5	0	5	0
159	candidate-cluster	NCreatureMode::CModeExplosiveForcePushed	409995	5	0	5	5	0	5	0
160	candidate-cluster	NCreatureMode::CModeRockTrollVulnerable	409995	5	0	5	5	0	5	0
161	candidate-cluster	NCreatureMode::CModeStrafe	409995	5	0	5	5	0	5	0
162	candidate-cluster	NCreatureMode::CModeStunned	409995	5	0	5	5	0	5	0
163	candidate-cluster	NCreatureMode::CModeThunderLightningStorm	409995	5	0	5	5	0	5	0
164	candidate-cluster	NCreatureMode::CModeWalkInAllDirections	409995	5	0	5	5	0	5	0
165	candidate-cluster	NHitLocations::CPhysicalPrimitiveSphere	409995	5	0	5	5	0	5	0
166	candidate-cluster	NParticleEngine::CParticleDataBank	409995	5	0	5	5	0	5	0
167	candidate-cluster	NUISystem::CDraggableInto	409995	5	0	5	5	0	5	0
168	candidate-cluster	NUISystem::CFrontEndList	409995	5	0	5	5	0	5	0
169	candidate-cluster	NUISystem::CFrontEndScreen	409995	5	0	5	5	0	5	0
170	candidate-cluster	NUISystem::CListArrow	409995	5	0	5	5	0	5	0
171	candidate-cluster	NUISystem::CSlider	409995	5	0	5	5	0	5	0
172	candidate-cluster	NUISystem::CYesNo	409995	5	0	5	5	0	5	0
173	candidate-cluster	CLocalDetailPrimitiveMeshZSpriteBatch	409994	11	5	6	5	0	5	0
174	candidate-cluster	CTCDExplosiveTrail	409994	7	1	6	5	0	5	0
175	candidate-cluster	CTCHeroMorph	409994	33	27	6	5	0	5	0
176	candidate-cluster	CTCVillageMember	409994	10	4	6	5	0	5	0
177	candidate-cluster	NGameText::CDataBank	409994	8	2	6	6	0	5	0
178	candidate-cluster	NHitLocations::CPhysicalPrimitiveCylinder	409994	6	0	6	6	0	5	0
179	candidate-cluster	NParticleEngine::CPSCOrbit	409994	6	0	6	6	0	5	0
180	candidate-cluster	CTCBerserk	409993	19	12	7	6	0	5	0
181	candidate-cluster	CTCBuyableHouse	409993	39	32	7	6	0	5	0
182	candidate-cluster	CTCCreditsUI	409993	12	5	7	6	0	5	0
183	candidate-cluster	CTCForcePushed	409993	9	2	7	6	0	5	0
184	candidate-cluster	CTCMultiArrow	409993	17	10	7	6	0	5	0
185	candidate-cluster	CTCPerceiveThing	409993	35	28	7	6	0	5	0
186	candidate-cluster	CTCSoundPlayer	409993	11	4	7	6	0	5	0
187	candidate-cluster	CTCSpotLight	409993	14	7	7	6	0	5	0
188	candidate-cluster	CTCStealth	409993	25	18	7	6	0	5	0
189	candidate-cluster	CTCActionUseBase	409992	13	5	8	5	0	5	0
190	candidate-cluster	CTCBattleCharge	409991	16	7	9	7	0	5	0
191	candidate-cluster	CTCChest	409991	16	7	9	7	0	5	0
192	candidate-cluster	CTCCreatureGeneratorCreator	409991	13	4	9	6	0	5	0
193	candidate-cluster	CTCFishingSpot	409991	15	6	9	8	0	5	0
194	candidate-cluster	CTCWeapon	409991	40	31	9	6	0	5	0
195	candidate-cluster	CTCAvoidRegionExit	409990	13	3	10	6	0	5	0
196	candidate-cluster	CTCVillage	409988	157	145	12	10	0	5	0
197	candidate-cluster	CTCShop	409982	52	34	18	17	0	5	0
198	candidate-cluster	CTCHeroStats	409972	105	77	28	27	0	5	0
199	candidate-cluster	CEngineLandscapeMap	408000	19	19	0	0	0	4	0
200	candidate-cluster	CEnginePrimitiveManagerMeshBase	408000	4	4	0	0	0	4	0
201	candidate-cluster	CLandscapeLayerMesh	407997	9	6	3	0	0	4	0
202	candidate-cluster	?A0x29922355::CCreatureAction_KrakenHighAttackInto	407996	4	0	4	4	0	4	0
203	candidate-cluster	?A0x29922355::CCreatureAction_KrakenLowChargeLoop	407996	4	0	4	4	0	4	0
204	candidate-cluster	?A0x29922355::CCreatureAction_KrakenLowPoseInto	407996	4	0	4	4	0	4	0
205	candidate-cluster	?A0x29922355::CCreatureAction_KrakenReturnToWater	407996	4	0	4	4	0	4	0
206	candidate-cluster	CASoundManager	407996	4	0	4	4	0	4	0
207	candidate-cluster	CInputProcessPhotojournalCapture	407996	5	1	4	4	0	4	0
208	candidate-cluster	CTCActivationReceptorDoor	407996	4	0	4	4	0	4	0
209	candidate-cluster	CTCAssassinRush	407996	41	37	4	4	0	4	0
210	candidate-cluster	CTCBoastingArea	407996	8	4	4	4	0	4	0
211	candidate-cluster	CTCCameraPointBuilding	407996	6	2	4	4	0	4	0
212	candidate-cluster	CTCCameraPointScripted	407996	28	24	4	4	0	4	0
213	candidate-cluster	CTCCameraPointScriptedSpline	407996	22	18	4	4	0	4	0
214	candidate-cluster	CTCClock	407996	7	3	4	4	0	4	0
215	candidate-cluster	CTCCreatureItemLevitationHero	407996	5	1	4	4	0	4	0
216	candidate-cluster	CTCCreatureItemLevitationNymph	407996	5	1	4	4	0	4	0
217	candidate-cluster	CTCCreatureModeManager	407996	11	7	4	4	0	4	0
218	candidate-cluster	CTCDecapitation	407996	5	1	4	4	0	4	0
219	candidate-cluster	CTCDExplosion	407996	21	17	4	4	0	4	0
220	candidate-cluster	CTCDummyVillager	407996	11	7	4	4	0	4	0
221	candidate-cluster	CTCEmoteIcon	407996	12	8	4	4	0	4	0
222	candidate-cluster	CTCExpression	407996	5	1	4	4	0	4	0
223	candidate-cluster	CTCFlammable	407996	7	3	4	4	0	4	0
224	candidate-cluster	CTCFlourishTarget	407996	5	1	4	4	0	4	0
225	candidate-cluster	CTCHaste	407996	5	1	4	4	0	4	0
226	candidate-cluster	CTCInfoDisplay	407996	5	1	4	4	0	4	0
227	candidate-cluster	CTCParticleAttacher	407996	7	3	4	4	0	4	0
228	candidate-cluster	CTCQuestCompletionUI	407996	13	9	4	4	0	4	0
229	candidate-cluster	CTCShapeManager	407996	16	12	4	4	0	4	0
230	candidate-cluster	CTCStealableItemLocation	407996	4	0	4	4	0	4	0
231	candidate-cluster	CTCTavernGameShoveHaPenny	407996	13	9	4	4	0	4	0
232	candidate-cluster	CTCUndeadSoul	407996	4	0	4	4	0	4	0
233	candidate-cluster	CTCWife	407996	42	38	4	4	0	4	0
