address	name	module	checker_verdict	origin	snapshot	declaration_header	sha256	bytes	integrity	integrity_detail	host_cpp20_syntax	compiler_errors	first_blocker	missing_dependencies	vc71_incompatibilities	vc71_features	compile_ready
008702d0	Handle_InitInvalid_008702d0	_global		wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x008702D0_global_Handle_InitInvalid_008702d0.cpp		dbed26c0b7663e3bd701931d62fe4c986798bebb693fe920b936af19cae5fc6c	728	PASS		PASS	0			8	static_assert:4;std-fixed-width:4	0
008ed590	GetRandomObject	CObjectFamilyDef	PASS	primary	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x008ED590_CObjectFamilyDef_GetRandomObject.cpp		df85c99ef2ec41472433a9f48b25ab71240f8915c25d578688a3c6643b7cafa6	1528	PASS		FAIL	10	'CObjectFamilyDef' has not been declared	CObjectFamilyDef;entry;GFROR13;gMainGameComponent;mObjectsBegin;mObjectsEnd;ObjectFamilyEntry	0		0
00a65d30	CMemoryAllocatorFixedSize::ConsolidateFreeAreas	CMemoryAllocatorFixedSize	PASS	wave2	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00A65D30_global_ConsolidateFreeAreas_CMemoryAllocatorFixedSize_UAEXXZ.cpp		c6a6b9ca9b8aa93efb1723b5f6dfc1403b2e65e626a1380e3c7615a0a7054f98	60	PASS		FAIL	1	'CMemoryAllocatorFixedSize' has not been declared	CMemoryAllocatorFixedSize	0		0
00a65d40	CMemoryAllocatorFixedSize::GetAllocationSize	CMemoryAllocatorFixedSize	PASS	wave2	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00A65D40_global_GetAllocationSize_CMemoryAllocatorFixedSize_UAEKPAX_Z.cpp		880009ede0157261c8f180a11fbd68eeed9587f5e50b59e088de646d4c9e5794	481	PASS		FAIL	2	'CMemoryAllocatorFixedSize' has not been declared	CMemoryAllocatorFixedSize	3	auto:1;static_assert:1;std-fixed-width:1	0
00a65d50	CMemoryAllocatorFixedSize::GetTotalMemoryControlledByAllocator	CMemoryAllocatorFixedSize	PASS	wave2	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00A65D50_global_GetTotalMemoryControlledByAllocator_CMemoryAllocatorFixedSize_UAEKXZ.cpp		52dbdc44bb1ed1dfcfa2fd4ec46f225c64167a38738262708a35c87e84b09d0c	1543	PASS		FAIL	2	'CMemoryAllocatorFixedSize' has not been declared	CMemoryAllocatorFixedSize	12	auto:2;nullptr:2;static_assert:4;std-fixed-width:4	0
00a65d70	CMemoryAllocatorFixedSize::GetHeaderOverhead	CMemoryAllocatorFixedSize	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00A65D70_global_GetHeaderOverhead_CMemoryAllocatorFixedSize_UAEKXZ.cpp		6ccaeb8739747d8f213ac3be262917cb01b64639c6c703a8ed86b5f9594c40fc	1384	PASS		FAIL	2	'CMemoryAllocatorFixedSize' has not been declared	CMemoryAllocatorFixedSize	12	auto:3;nullptr:2;static_assert:4;std-fixed-width:3	0
00a65da0	CMemoryAllocatorFixedSize::GetTotalMemoryAllocated	CMemoryAllocatorFixedSize	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00A65DA0_global_GetTotalMemoryAllocated_CMemoryAllocatorFixedSize_UAEKXZ.cpp		479f8ab5470c03fcef25d45567f622a0e926643d1bf4cd18cd592bc6b92e6ab8	1597	PASS		FAIL	2	'CMemoryAllocatorFixedSize' has not been declared	CMemoryAllocatorFixedSize	13	auto:3;nullptr:2;static_assert:5;std-fixed-width:3	0
00a65de0	CMemoryAllocatorFixedSize::GetAllocationSizeIncludingHeader	CMemoryAllocatorFixedSize	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00A65DE0_global_GetAllocationSizeIncludingHeader_CMemoryAllocatorFixedSize_UAEKPAX_Z.cpp		56209ca08c033c8eba8886684aef54cb08209277eb8d428908c0f4ba6dc7df7e	542	PASS		FAIL	2	'CMemoryAllocatorFixedSize' has not been declared	CMemoryAllocatorFixedSize	3	auto:1;static_assert:1;std-fixed-width:1	0
00a65df0	CMemoryAllocatorFixedSize::GetLargestFreeAreaSize	CMemoryAllocatorFixedSize	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00A65DF0_global_GetLargestFreeAreaSize_CMemoryAllocatorFixedSize_UAEKXZ.cpp		37204b2183d9434696d25337ccfedf09649cc5bdbb7200be0b8007b05f46b88f	1551	PASS		FAIL	2	'CMemoryAllocatorFixedSize' has not been declared	CMemoryAllocatorFixedSize	13	auto:2;nullptr:2;static_assert:5;std-fixed-width:4	0
00a65e20	CMemoryAllocatorFixedSize::GetNoFreeAreas	CMemoryAllocatorFixedSize	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00A65E20_global_GetNoFreeAreas_CMemoryAllocatorFixedSize_UAEKXZ.cpp		a2a7768da993330436bbfd3c9d34dc6ed6ab8a700b9cfbf917cbe19290aa612a	1352	PASS		FAIL	2	'CMemoryAllocatorFixedSize' has not been declared	CMemoryAllocatorFixedSize	12	auto:3;nullptr:2;static_assert:4;std-fixed-width:3	0
