address	verdict	file	flag
00416148	EXACT	CMainGameComponent_GetEventPackageSetFromSave_00416148.cpp	Oy
004161a7	EXACT	CMainGameComponent_AddEventPackageSetToSave_004161a7.cpp	Oy
00416202	EXACT	global_operatornew_00416202.cpp	Oy
00416219	EXACT	ConsvalstdallocatorstdpairEHeroMorphTypeCParticleMorphsCEntrystdpairEHeroMorphTypeCParticleMorphsCEntrystdpairenumEHeroMorphTypeclassCParticleMorphs_CEntryconst_00416219.cpp	Oy
00416225	EXACT	CWorld_DrawGetEnvironment_00416225.cpp	Oy
00416268	EXACT	CMainGameComponent_BeginInputLoading_00416268.cpp	Oy
0041627f	EXACT	CMainGameComponent_BeginInputLoading_0041627f.cpp	Oy
00416296	EXACT	CMainGameComponent_IsControllerDisconnected_00416296.cpp	Oy
00416359	EXACT	CWorld_DrawGetEnvironment_00416359.cpp	Oy
00416365	EXACT	CMainGameComponent_PostChangeResolution_00416365.cpp	Oy
00416392	EXACT	CMainGameComponent_PeekWorldChecksum_00416392.cpp	Oy
0041649c	EXACT	CMainGameComponent_AddGameEvent_0041649c.cpp	Oy
00416670	EXACT	CMainGameComponent_ProcessEventPackage_00416670.cpp	Oy
004166a8	EXACT	CMainGameComponent_CreatePlayers_004166a8.cpp	Oy
0041674a	EXACT	CMainGameComponent_IsTimeForServerUpdate_0041674a.cpp	Oy
004167a7	EXACT	DestvalstdallocatorstdpairlongCMusicManagerCRegisteredMusicEntrystdpairlongCMusicManager_CRegisteredMusicEntry_004167a7.cpp	Oy
004167c8	EXACT	global_GFGetPreMainMemoryUsed_004167c8.cpp	Oy
004167da	EXACT	global_AppReinitFunc_004167da.cpp	Oy
00416c35	EXACT	global_ConsoleForceUpdateTickSpeed_00416c35.cpp	Oy
0041732a	EXACT	CMainGameComponent_InitPlayerManager_0041732a.cpp	Oy
004175da	EXACT	CMainGameComponent_OnPostDeviceReset_004175da.cpp	Oy
0041799b	EXACT	CMainGameComponent_ChangeTextureColourDepthCMainGameCom_0041799b.cpp	Oy
00418c3b	RELOC	CMainGameComponent_GenerateMetFilesFromLugFiles_00418c3b.cpp	Oy
00419036	EXACT	global_DeleteData_00419036.cpp	Oy
00419047	EXACT	DestvalstdallocatorCIVCountedPointerN3DPrimitiveCTriangleListCIVCountedPointerN3DPrimitive_CTriangleList_00419047.cpp	Oy
0041906e	EXACT	DestvalstdallocatorCIVCountedPointerN3DPrimitiveCTriangleListCIVCountedPointerN3DPrimitive_CTriangleList_0041906e.cpp	Oy
004190b6	EXACT	DestvalstdallocatorCCountedPointerQuadricOptimiserInternalsCOptimisedPrimitiveCCountedPointerQuadricOptimiserInternals_COptimisedPrimitive_004190b6.cpp	Oy
004190e2	EXACT	CCountedPointerNUISystemCAction_ShareData_004190e2.cpp	Oy
00419108	EXACT	DestvalstdallocatorCCountedPointerQuadricOptimiserInternalsCOptimisedPrimitiveCCountedPointerQuadricOptimiserInternals_COptimisedPrimitive_00419108.cpp	Oy
00419134	EXACT	CCountedPointerNUISystemCAction_ShareData_00419134.cpp	Oy
0041915a	RELOC	DestvalstdallocatorCCountedPointerQuadricOptimiserInternalsCOptimisedPrimitiveCCountedPointerQuadricOptimiserInternals_COptimisedPrimitive_0041915a.cpp	Oy
0041919c	EXACT	global_GFLimitReturndouble_0041919c.cpp	Oy
004191c1	EXACT	DestvalstdallocatorCCountedPointerQuadricOptimiserInternalsCOptimisedPrimitiveCCountedPointerQuadricOptimiserInternals_COptimisedPrimitive_004191c1.cpp	Oy
00419220	EXACT	CGameEventPackage_CGameEventPackage_00419220.cpp	Oy
00419270	EXACT	CDisplayEngineInit_CDisplayEngineInit_00419270.cpp	Oy
00419352	EXACT	DestvalstdallocatorstdpairlongCMusicManagerCRegisteredMusicEntrystdpairlongCMusicManager_CRegisteredMusicEntry_00419352.cpp	Oy
00419365	EXACT	CAssoc_scalardeletingdestructor_00419365.cpp	Oy
004193a0	EXACT	global_DeleteData_004193a0.cpp	Oy
004193c4	EXACT	global_DeleteData_004193c4.cpp	Oy
004193e8	EXACT	global_DeleteData_004193e8.cpp	Oy
0041940c	EXACT	global_DeleteData_0041940c.cpp	Oy
