address	module	status	retail_bytes	object_text_bytes	object_symbol	first_difference	matching_prefix_bytes	relocation_count	relocation_offsets	retail_sha256	object_sha256
0081f090	CMap	DIFFER	147	153	?GetEngineThemeAt@CMap@@QBEKJJKW4EThemePaintType@@@Z	74	74	0		394326f2097a34191e0e65398675b35d534aed7c6b5e702b712c0d6c0e30fdb3	9a0f4107dfa320d6dc4cbdcda443216358ee723df9712c55c1b6b4e049357773
0081f170	CMap	DIFFER	143	143	?GetEngineBlendAt@CMap@@QBEEJJKW4EThemePaintType@@@Z	6	6	1	0x82	108baee4c7c7960df51d8aa9100ad91a71a46b3bab1460e289b97be8acf33b2a	e3b701a9e6463df37fec5a3e089bfc3b46c22eab844d0cf88f9fa40af25e1347
0082e330	CScriptedMapBrush	DIFFER	77	81	?GetTheme@CScriptedMapBrush@@QBEKJJK@Z	1	1	0		d1af9db73dd3c42a25cc52ee90a6ebd657e055fc930f1977af15d493e5bda0dc	70cc526c4c1b9ebe8585ba355768b88f6eba736c5b580a555f6aff23f8b93157
0082e3d0	CScriptedMapBrush	DIFFER	78	82	?GetThemeBlend@CScriptedMapBrush@@QBEEJJK@Z	1	1	0		73ea35dde1b62190e634f7db51fd2b54e0c2de1efa145800fc1dd23a0baec309	8db972414e8beb9a03d368b1044e2b2cbde58f30a73094bce6d2b548b65deaeb
0082e420	CScriptedMapBrush	DIFFER	76	78	?SetThemeBlend@CScriptedMapBrush@@QAEXJJEK@Z	1	1	0		b1b07b2be35936465fc5540282edc562eb4f4e09584541d59e30ae4ff131e773	3dffd6b40aaa6061997d02bbf24beac4b0a7e1f275edf819dec44957f166349f
0063a970	CWorldMap	RELOCATION_MATCH	99	99	?SetThemeAtBlock@CWorldMap@@QAEXABUC2DCoordI@@KKW4EThemePaintType@@@Z	46	46	2	0x2e;0x56	12d1b7e13e6dce6b849e5febea441045d914e905e9cd10943bcba5f271d9ddee	ea226ae066dd78d49c8e0732bd693ecce2afc4e25f96c0b8c54203e74e70bfce
0063a9e0	CWorldMap	RELOCATION_MATCH	99	99	?SetThemeBlendAtBlock@CWorldMap@@QAEXABUC2DCoordI@@EKW4EThemePaintType@@@Z	46	46	2	0x2e;0x56	e2305d6dfb29ad5d0d7e02d698d634948b194815dfdeb73ef7d81ab85c518803	ea226ae066dd78d49c8e0732bd693ecce2afc4e25f96c0b8c54203e74e70bfce
0063aa50	CWorldMap	RELOCATION_MATCH	93	93	?GetThemeAtBlock@CWorldMap@@QBEKABUC2DCoordI@@KW4EThemePaintType@@@Z	34	34	2	0x22;0x45	65e30b694822354df7da58ba42f08b2895c0717f7b7791c998817c82e99640ab	d9552040374ac8e37f3eb7b109ae55a8a06b627c4eda062ef34e9a63f60eaf3e
0063aab0	CWorldMap	RELOCATION_MATCH	96	96	?GetThemeBlendAtBlock@CWorldMap@@QBEKABUC2DCoordI@@KW4EThemePaintType@@@Z	34	34	2	0x22;0x45	859b21628f36c5188b97fcff2bc2a27fd619afe1b260e1a953019cc0a37d5b07	d039c290c697c9746e57a5c6d9699a7a6b5b668e3b8723899488f5fd39ef881e
00bf3a90	CEngineLandscapePatch	DIFFER	205	192	?LoadHeader@CEngineLandscapePatch@@QAEXAAVCMemoryDataInputStream@@@Z	3	3	1	0x38	6971c73cbcf144edceaf9f998a09ff2a2786b6ad02cb4bc9b9a1731dcabadf75	d2fceb27955be4ec1ad4d54e35891794a3b1ec4b360b822d6039a6aa0c7cff54
00bf4130	CEngineLandscapePatch	DIFFER	234	180	?LoadTextures@CEngineLandscapePatch@@QAE_NM@Z	1	1	3	0x32;0x98;0xa0	c4d2ea3ae11a3d02d14fb63de120fbbdff9fda199dd49da71c9a5150af2a0c3f	48a25ae4764a49419c7ab853f0eb583f586be05a8025082594658885228c2e60
00beaaa0	CEngineScreenEffectOutlineGlow	RELOCATION_MATCH	71	71	??1CEngineScreenEffectOutlineGlow@@QAE@XZ	18	18	3	0x12;0x29;0x34	56f603689008eda08ce3ac6db5ca58d43e62bfb95aea15b3fc92fb95e4c2effd	a689a25666105ab2952cda3c8beb530bd591001db29a6ec00c2d355b552bf315
00beb4d0	CEngineScreenEffectOutlineGlow	RELOCATION_MATCH	100	100	?ScalarDeletingDestructor@CEngineScreenEffectOutlineGlow@@QAEPAV1@I@Z	18	18	5	0x12;0x29;0x34;0x4e;0x5a	e773d980d08eb48d461bbdd2702af19053d074107f1e9b077222639f436f79a0	c862d43b9bd714f67ea53af3728a1a2f465c31eeedecf445fc13e3b3c40fba2b
00bf5c20	CEngineLandscapeRenderer	MATCH	54	54	?GetForegroundVertexShader@CEngineLandscapeRenderer@@QAEAAVCVertexShader@@J@Z		54	0		83b441ca9ec2dbe800caf62796a403559197e61c3ea7989b5b62aba2233c5ea1	83b441ca9ec2dbe800caf62796a403559197e61c3ea7989b5b62aba2233c5ea1
00bf5c60	CEngineLandscapeRenderer	MATCH	54	54	?GetForegroundSpotLightVertexShader@CEngineLandscapeRenderer@@QAEAAVCVertexShader@@J@Z		54	0		dd50072b23143e8842834992493ccce7724bee2b42757dea073a18e3ccac1914	dd50072b23143e8842834992493ccce7724bee2b42757dea073a18e3ccac1914
00bf5ca0	CEngineLandscapeRenderer	MATCH	42	42	?GetForegroundShadowedVertexShader@CEngineLandscapeRenderer@@QAEAAVCVertexShader@@J@Z		42	0		bdf84191acbfd999ec00be55ac18831943de0b897e81c55376ee2f758c3e434a	bdf84191acbfd999ec00be55ac18831943de0b897e81c55376ee2f758c3e434a
00bf5cd0	CEngineLandscapeRenderer	MATCH	42	42	?GetForegroundBumpShadowedVertexShader@CEngineLandscapeRenderer@@QAEAAVCVertexShader@@J@Z		42	0		4d3adce6a2bfe5c3c22ff6730089f4c4ab812810fa255b951b8ac984672f90d9	4d3adce6a2bfe5c3c22ff6730089f4c4ab812810fa255b951b8ac984672f90d9
00bf5d00	CEngineLandscapeRenderer	MATCH	42	42	?GetForegroundSpotShadowedVertexShader@CEngineLandscapeRenderer@@QAEAAVCVertexShader@@J@Z		42	0		a09c66e79827719385ee24df738219e9218d3dd85fa7011156d695566c9c7ce8	a09c66e79827719385ee24df738219e9218d3dd85fa7011156d695566c9c7ce8
00bf6720	CLandscapeBackgroundTreeNode	MATCH	37	37	?UpdateTesselation@CLandscapeBackgroundTreeNode@@QAEXXZ		37	0		ddd7ba67ad7612adf6a790ebdcb5f66bd3e23bcb180b9e0d004e76f2e38613c1	ddd7ba67ad7612adf6a790ebdcb5f66bd3e23bcb180b9e0d004e76f2e38613c1
