address	category	current	proposed
009576c0	agree	?OnActivate@CAIStateGroupBehaviourBase@@UAEXXZ	?OnActivate@CAIStateGroupBehaviourBase@@UAEXXZ
00957790	agree	?Cleanup@CAIStateGroupBehaviourBase@@UAEXXZ	?Cleanup@CAIStateGroupBehaviourBase@@UAEXXZ
009577e0	disagree	IsRunnable	?IsRunnable@CAIStateGroupBehaviourBase@@UAE_NXZ
00957940	agree	?Initialise@CAIStateGroupBehaviourBase@@UAEXAAVCAIBrain@@AAVCThingAICreature@@JW4EScriptAIPriority@@ABVCCharString@@@Z	?Initialise@CAIStateGroupBehaviourBase@@UAEXAAVCAIBrain@@AAVCThingAICreature@@JW4EScriptAIPriority@@ABVCCharString@@@Z
00957bb0	disagree	Initialise	?Initialise@CAIStateGroup_MinionBehaviourCrowdBase@@UAEXAAVCAIBrain@@AAVCThingAICreature@@JW4EScriptAIPriority@@ABVCCharString@@@Z
00957be0	agree	?Cleanup@CAIStateGroup_MinionBehaviourCrowdBase@@UAEXXZ	?Cleanup@CAIStateGroup_MinionBehaviourCrowdBase@@UAEXXZ
00957c30	disagree	IsRunnable	?IsRunnable@CAIStateGroup_MinionBehaviourCrowdBase@@UAE_NXZ
00957db0	agree	?Update@CAIStateGroup_MinionBehaviourCrowdBase@@UAEXXZ	?Update@CAIStateGroup_MinionBehaviourCrowdBase@@UAEXXZ
00957f20	disagree	IsRunnable	?IsRunnable@CAIStateGroup_MinionReactToBurglary@@UAE_NXZ
00958000	agree	?Update@CAIStateGroup_MinionReactToBurglary@@UAEXXZ	?Update@CAIStateGroup_MinionReactToBurglary@@UAEXXZ
009580d0	agree	?Initialise@CAIStateGroup_MinionReactToTrespassing@@UAEXAAVCAIBrain@@AAVCThingAICreature@@JW4EScriptAIPriority@@ABVCCharString@@@Z	?Initialise@CAIStateGroup_MinionReactToTrespassing@@UAEXAAVCAIBrain@@AAVCThingAICreature@@JW4EScriptAIPriority@@ABVCCharString@@@Z
00958210	agree	?OnActivate@CAIStateGroup_MinionReactToTrespassing@@UAEXXZ	?OnActivate@CAIStateGroup_MinionReactToTrespassing@@UAEXXZ
00958270	agree	?Cleanup@CAIStateGroup_MinionReactToTrespassing@@UAEXXZ	?Cleanup@CAIStateGroup_MinionReactToTrespassing@@UAEXXZ
009582d0	disagree	Update	?Update@CAIStateGroup_MinionReactToTrespassing@@UAEXXZ
00958720	agree	?IsRunnable@CAIStateGroup_MinionReactToTrespassing@@UAE_NXZ	?IsRunnable@CAIStateGroup_MinionReactToTrespassing@@UAE_NXZ
00958760	agree	?InitStateGroup@CAIStateGroup_MinionReactToCrime@@UAEXABVCWorld@@AAVCThingAICreature@@@Z	?InitStateGroup@CAIStateGroup_MinionReactToCrime@@UAEXABVCWorld@@AAVCThingAICreature@@@Z
009587d0	agree	?OnActivate@CAIStateGroup_MinionReactToCrime@@UAEXXZ	?OnActivate@CAIStateGroup_MinionReactToCrime@@UAEXXZ
00958840	disagree	Update	?Update@CAIStateGroup_MinionReactToCrime@@UAEXXZ
00958b20	agree	?OnReplace@CAIStateGroup_MinionReactToCrime@@UAEXXZ	?OnReplace@CAIStateGroup_MinionReactToCrime@@UAEXXZ
00958cb0	disagree	IsRunnable	?IsRunnable@CAIStateGroup_MinionReactToCrime@@UAE_NXZ
00958e20	agree	?IsStillValid@CAIStateGroup_MinionReactToCrime@@UBE_NXZ	?IsStillValid@CAIStateGroup_MinionReactToCrime@@UBE_NXZ
00958f00	agree	?IsRunnable@CAIStateGroup_MinionReactToCrimeFromSleep@@UAE_NXZ	?IsRunnable@CAIStateGroup_MinionReactToCrimeFromSleep@@UAE_NXZ
00959800	disagree	IsRunnable	?IsRunnable@CAIStateGroup_HoverWanderAroundThing@@UAE_NXZ
00959a60	disagree	Update	?Update@CAIStateGroup_HoverWanderAroundThing@@UAEXXZ
00959bf0	disagree	Update	?Update@CAIStateGroup_HoverWander@@UAEXXZ
00959ee0	agree	?Initialise@CAIStateGroup_HoverKeepInArea@@UAEXAAVCAIBrain@@AAVCThingAICreature@@JW4EScriptAIPriority@@ABVCCharString@@@Z	?Initialise@CAIStateGroup_HoverKeepInArea@@UAEXAAVCAIBrain@@AAVCThingAICreature@@JW4EScriptAIPriority@@ABVCCharString@@@Z
00959f30	agree	?IsRunnable@CAIStateGroup_HoverKeepInArea@@UAE_NXZ	?IsRunnable@CAIStateGroup_HoverKeepInArea@@UAE_NXZ
00959f80	disagree	Update	?Update@CAIStateGroup_HoverKeepInArea@@UAEXXZ
0095a270	agree	?Initialise@CAIStateGroup_HoverAttackArea@@UAEXAAVCAIBrain@@AAVCThingAICreature@@JW4EScriptAIPriority@@ABVCCharString@@@Z	?Initialise@CAIStateGroup_HoverAttackArea@@UAEXAAVCAIBrain@@AAVCThingAICreature@@JW4EScriptAIPriority@@ABVCCharString@@@Z
0095a2c0	disagree	IsRunnable	?IsRunnable@CAIStateGroup_HoverAttackArea@@UAE_NXZ
0095a380	agree	?Initialise@CAIStateGroup_HoverHornetQueenTakeDamage@@UAEXAAVCAIBrain@@AAVCThingAICreature@@JW4EScriptAIPriority@@ABVCCharString@@@Z	?Initialise@CAIStateGroup_HoverHornetQueenTakeDamage@@UAEXAAVCAIBrain@@AAVCThingAICreature@@JW4EScriptAIPriority@@ABVCCharString@@@Z
0095a3b0	agree	?OnReplace@CAIStateGroup_HoverHornetQueenTakeDamage@@UAEXXZ	?OnReplace@CAIStateGroup_HoverHornetQueenTakeDamage@@UAEXXZ
0095a890	agree	?Initialise@CAIStateGroup_HoverHornetQueen@@UAEXAAVCAIBrain@@AAVCThingAICreature@@JW4EScriptAIPriority@@ABVCCharString@@@Z	?Initialise@CAIStateGroup_HoverHornetQueen@@UAEXAAVCAIBrain@@AAVCThingAICreature@@JW4EScriptAIPriority@@ABVCCharString@@@Z
