241	0088df20	?EntitySetAsRespondingToFollowAndWaitExpressions@CGameScriptInterface@@UBEXABVCScriptThing@@_N@Z
242	00895650	?EntitySetAsMirroringHeroEnemyRelationsWhileFollowing@CGameScriptInterface@@UBEXABVCScriptThing@@_N@Z
243	008a7a70	?TeleportAllFollowersToHeroPosition@CGameScriptInterface@@UBEXXZ
244	008956b0	?EntityTeleportToHeroPosition@CGameScriptInterface@@UBEXABVCScriptThing@@@Z
245	008957c0	?SendEntityEvent@CGameScriptInterface@@UBEXW4EEventType@NEntityEvents@@ABVCScriptThing@@1PAVCThing@@@Z
246	0088df60	?GetWaterHeightAtPosition@CGameScriptInterface@@UBEMABVC3DVector@@@Z
247	008958f0	?IsFishingSpotEnabled@CGameScriptInterface@@UBE_NABVCScriptThing@@@Z
248	00895950	?DisableFishingSpot@CGameScriptInterface@@UBEXABVCScriptThing@@@Z
249	008959b0	?UpdateFishWeight@CGameScriptInterface@@UBEXABVCScriptThing@@@Z
250	00895a10	?GetBestFishWeight@CGameScriptInterface@@UBEMABVCCharString@@@Z
251	00895a90	?HeroGoFishing@CGameScriptInterface@@UBEX_N@Z
252	00895b00	?GetHeroFishingLevel@CGameScriptInterface@@UBEJXZ
253	0088df80	?HeroGoDigging@CGameScriptInterface@@UBEXXZ
254	0088dfa0	?HeroStopDigging@CGameScriptInterface@@UBEXXZ
255	00895b60	?HeroPlayOracleMinigame@CGameScriptInterface@@UBEXXZ
256	00895bc0	?IsHeroPlayingOracleMinigame@CGameScriptInterface@@UBE_NXZ
257	00895c30	?HasHeroWonOracleMinigame@CGameScriptInterface@@UBE_NXZ
258	00895c90	?HeroPlayFireheartMinigame@CGameScriptInterface@@UBEXXZ
259	00895cf0	?HeroQuitFireheartMinigame@CGameScriptInterface@@UBEXXZ
260	00895d50	?HasHeroForceQuitFireheartMinigame@CGameScriptInterface@@UBE_NXZ
261	00890370	?GetHeroHealth@CGameScriptInterface@@UBEMXZ
262	008903a0	?GetHeroHealthMax@CGameScriptInterface@@UBEMXZ
263	008903d0	?GetHeroHealthPercentage@CGameScriptInterface@@UBEMXZ
264	0089a150	?GetHeroWillEnergy@CGameScriptInterface@@UBEJXZ
265	0089a1b0	?GetHeroWillEnergyMax@CGameScriptInterface@@UBEJXZ
266	0089a210	?GetHeroWillEnergyPercentage@CGameScriptInterface@@UBEJXZ
267	00891720	?ChangeHeroHealthBy@CGameScriptInterface@@UBEXM_N0@Z
268	00890400	?GetHealth@CGameScriptInterface@@UBEMABVCScriptThing@@@Z
269	00890430	?ModifyThingHealth@CGameScriptInterface@@UBEXABVCScriptThing@@M_N@Z
270	0088e1c0	?EntitySetMaxHealth@CGameScriptInterface@@UBEXABVCScriptThing@@M_N@Z
271	0089a270	?SetThingAsKilled@CGameScriptInterface@@UBEXABVCScriptThing@@@Z
272	008917f0	?GiveHeroNewQuestObjective@CGameScriptInterface@@UBEXABVCCharString@@K@Z
273	00891800	?TellHeroQuestObjectiveCompleted@CGameScriptInterface@@UBEXK@Z
274	00891810	?TellHeroQuestObjectiveFailed@CGameScriptInterface@@UBEXK@Z
275	00891820	?AddQuestRegion@CGameScriptInterface@@UBEXABVCCharString@@0@Z
276	00891860	?SetQuestWorldMapOffset@CGameScriptInterface@@UBEXABVCCharString@@ABVC2DCoordI@@@Z
277	00891870	?IsHeroOnQuest@CGameScriptInterface@@UBE_NXZ
278	008918c0	?HeroReceiveMessageFromGuildMaster@CGameScriptInterface@@UBEXABVCCharString@@0_N1@Z
279	0088e200	?SetGuildMasterMessages@CGameScriptInterface@@UBEX_N@Z
