#target_addr	target_old	donor_name	similarity	significance	applied
a32c20	??$_Make_heap@PAU?$pair@KVC3DHelperPoint@@@std@@HU12@V?$CKeyPairCompareLess@KVC3DHelperPoint@@@@@std@@YIXPAU?$pair@KVC3DHelperPoint@@@0@0V?$CKeyPairCompareLess@KVC3DHelperPoint@@@@PAH0@Z	??$_Make_heap@PAU?$pair@KVC3DHelperPoint@@@std@@HU12@V?$CKeyPairCompareLess@KVC3DHelperPoint@@@@@std@@YIXPAU?$pair@KVC3DHelperPoint@@@0@0V?$CKeyPairCompareLess@KVC3DHelperPoint@@@@PAH0@Z	0.5142058105487706	20.311058171635096	true
a35310	??RCSetIllustratorAsDrawing@NPlayerGui@@QAEXPAVCDrawBase@1@@Z	??RCSetIllustratorAsDrawing@NPlayerGui@@QAEXPAVCDrawBase@1@@Z	0.5978227429991875	5.527730542177558	true
a35580	?GetAnimsWithNameStartingWith@CThingCreatureBase@@QBEXABVCCharString@@AAV?$vector@PBVCAnimationEntry@@V?$allocator@PBVCAnimationEntry@@@std@@@std@@@Z	?GetAnimsWithNameStartingWith@CThingCreatureBase@@QBEXABVCCharString@@AAV?$vector@PBVCAnimationEntry@@V?$allocator@PBVCAnimationEntry@@@std@@@std@@@Z	0.5024960136258351	17.05924595410683	true
a35330	??RCSetIllustratorAsDrawing@NPlayerGui@@QAEXPAVCDrawBase@1@@Z	??RCSetIllustratorAsDrawing@NPlayerGui@@QAEXPAVCDrawBase@1@@Z	0.5978227429991875	5.527730542177558	true
a36100	?OpenStringSource@CMemoryDataInputStream@@QAEXABVCCharString@@@Z	?OpenStringSource@CMemoryDataInputStream@@QAEXABVCCharString@@@Z	0.551916309867228	13.430526978977298	true
a37880	??0CClassTypeInfo@@QAE@XZ	??0CClassTypeInfo@@QAE@XZ	0.5124910013930407	10.471617759617105	true
a3b510	??0CTextureRenderer@@QAE@PAUIUnknown@@PAJPAVCTexture@@@Z	??0CTextureRenderer@@QAE@PAUIUnknown@@PAJPAVCTexture@@@Z	0.569559329002901	10.405499526051436	true
a3e010	@md5_finish@8	@md5_finish@8	0.5991619043566014	29.468000712860697	true
a440f0	??_GCLandscapeBackgroundLoadTask@@QAEPAXI@Z	??_GCLandscapeBackgroundLoadTask@@QAEPAXI@Z	0.5191973139365003	13.763093928784581	true
a46680	??$_Copy_impl@PAVCTargetPoint@NPlayerTargeting@@PAV12@@std@@YIPAVCTargetPoint@NPlayerTargeting@@PAV12@00U_Nonscalar_ptr_iterator_tag@0@@Z	??$_Copy_impl@PAVCTargetPoint@NPlayerTargeting@@PAV12@@std@@YIPAVCTargetPoint@NPlayerTargeting@@PAV12@00U_Nonscalar_ptr_iterator_tag@0@@Z	0.5116251466932231	17.60051749625281	true
