# class(module)	fnCount
CTCCrateStack	11
CTCHealLife	11
CTCWallMount	11
CTCBetting	11
CTCActivationReceptorBase	11
CTCPreCalculatedNavigationRoute	11
CTCLightningNode	11
CTCBoastingPodium	11
CZTargetNew	11
CIEngine	11
NSpeechGainManager	11
CCombatAction_GenericStrikeResponseBase	11
CModeThunderLightningStorm	11
CTrack	11
CModeStandBase	11
CTracksDialog	11
CCopyPasteDialog	11
CEnvironmentThemePriorityStackEntry	11
CCombatSequenceGeneric	11
CAIStateGroup_JackOfBladesStage1	11
CEditLevelMerger	11
CAIStateGroup_UsesSeat	11
CAIStateGroupBehaviourBase	11
CEngineWaterSettings	11
CLocalDetailPrimitiveRepeatedMesh	11
CPSCSplineBase	11
CSplineRandomOffsetData	11
CStreamingFontBank	11
CConsoleCommandLine	11
CResource	11
CGuiWindowMenu	11
CP4Api	11
CQ_PrisonEscapeRescueMotherScript	11
CQ_RansomVictimScript	11
CQ_TraderConflictGoodScript	11
CFishCompOrganiser	11
CMurderTwistSheriff	11
CTCGraphicAppearanceSprite	10
CTCAnimationComplex	10
CTCHighlightItem	10
CTCBoastingPosition	10
CTCWillEnflame	10
CTCOverheadDisplay	10
CTCTavernBar	10
CTCTrespasser	10
CTCDrainLife	10
CTCTurncoat	10
CTCOwnedEntity	10
CTCAvoidRegionExit	10
CTCVillageMember	10
CTCSmashableBase	10
CTCDHeroSuit	10
CThingVillage	10
CThingHolySite	10
CThingMarker	10
CZoomingComponent	10
CMesh	10
CMorphingSprite	10
CPhysicalPrimitiveMesh	10
CEditFractal	10
CTCTavernGameCoinBase	10
CAIStateGroup_MinionReactToNoise	10
CAIStateGroup_MinionKidGroupTag	10
CAIStateGroup_WanderAroundShops	10
CAIStateGroup_GameMaster	10
CEngineLandscapeMeshBuilder	10
CEnginePrimitiveRenderer2D	10
CEngineClothSimulationMeshBase	10
CEngineScreenEffectOutlineGlow	10
CEngineInternalPrimitiveMeshBase	10
CEnginePrimitiveManagerMeshBase	10
CEnginePrimitiveManagerRepeatedZSprites	10
CLocalDetailPlacementGrid	10
CEngineInternalPrimitive2DViewport	10
CParticleDataBank	10
CSystemRegistry	10
CParsedItem	10
CDefStringTable	10
CDriveManager	10
NProgressDisplay	10
CProfile	10
CRenderStateManager	10
CFontDataBank	10
CKeyboard	10
CMouse	10
CMirroredTextureHighlightsChunk	10
CKeyboardDX	10
CQ_DragonBossFightScript	10
CQ_HobbeToothContestScript	10
CQ_OakValeBanditRaidScript	10
CQ_OpeningGraveyardSecretPassageScript	10
CQ_TraderEscortScript	10
CV_FishingCompetitionScript	10
CV_MayorsInvitationScript	10
CParentDefClassBase	9
CMaterialDef	9
CHeroLogBook	9
CTCActionUseBuyHouse	9
CTCClock	9
CTCBed	9
CTCNoise	9
CTCActivationTrigger	9
CTCSkeletalMorph	9
CTCForcePushed	9
