address	name	named	size	thunk	ok	error
0040b3d0	SetAntialiasing	1	53	0	1	
0040b410	SetCameraResetting	1	49	0	1	
0040b450	SetCameraResetting	1	49	0	1	
0040b490	SetCameraResetting	1	49	0	1	
0040b4d0	SetAntialiasing	1	49	0	1	
0040b510	SetCameraResetting	1	49	0	1	
0040b550	SetAntialiasing	1	53	0	1	
0040b590	SetAntialiasing	1	53	0	1	
0040b5d0	SetAntialiasing	1	53	0	1	
0040b610	SetAntialiasing	1	53	0	1	
0040b650	SetAntialiasing	1	53	0	1	
0040b690	SetAntialiasing	1	49	0	1	
0040b6d0	SetAntialiasing	1	49	0	1	
0040b710	SetAntialiasing	1	49	0	1	
0040b750	SetCameraResetting	1	49	0	1	
0040b790	GiveTutorialForCategory	1	918	0	1	
0040bb90	FUN_0040bb90	0	188	0	1	
0040bc50	GetEditorAnimation	1	37	0	1	
0040bc80	Apply	1	25	0	1	
0040bca0	LoadGameState	1	2790	0	1	
0040c790	SetDefaultValues	1	1284	0	1	
0040cca0	ApplyNewProfileValues	1	535	0	1	
0040cec0	FUN_0040cec0	0	977	0	1	
0040d2a0	Get	1	69	0	1	
0040d2f0	SetCameraBowYZInverted	1	89	0	1	
0040d350	Load	1	164	0	1	
0040d400	AddLineToDrawBuffer	1	44	0	1	
0040d850	_Dest_val<std::allocator<CIVCountedPointer<N3DPrimitive::CTriangleList>_>,CIVCountedPointer<N3DPrimitive::CTriangleList>_>	1	27	0	1	
0040d8b0	_Dest_val<std::allocator<CIVCountedPointer<N3DPrimitive::CTriangleList>_>,CIVCountedPointer<N3DPrimitive::CTriangleList>_>	1	27	0	1	
0040d8d0	_Dest_val<std::allocator<CIVCountedPointer<N3DPrimitive::CTriangleList>_>,CIVCountedPointer<N3DPrimitive::CTriangleList>_>	1	27	0	1	
0040dca0	_Dest_val<std::allocator<CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>,CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>	1	53	0	1	
0040dce0	IS_THING_ALIVE<CThingBuilding*>	1	21	0	1	
0040dd00	_Cons_val<std::allocator<std::pair<CWideString_const_,float>_>,std::pair<CWideString_const_,float>,std::pair<CWideString,float>_>	1	11	0	1	
0040dd60	_Uninit_copy<CFeatDef*,CFeatDef*,std::allocator<CFeatDef>_>	1	46	0	1	
0040ddc0	_Copy_impl<C2DLineF*,C2DLineF*>	1	56	0	1	
0040de00	fill<C3DClothQuad*,C3DClothQuad>	1	49	0	1	
0040de40	_Uninit_copy<std::_Vector_const_iterator<std::_Vector_val<unsigned_int,std::allocator<unsigned_int>_>_>,unsigned_int*,std::allocator<unsigned_int>_>	1	38	0	1	
0040ded0	_Copy_impl<CActionInputControl*,CActionInputControl*>	1	47	0	1	
0040df00	_Cons_val<std::allocator<CAppearanceModifierGraphics::CEntry>,CAppearanceModifierGraphics::CEntry,CAppearanceModifierGraphics::CEntry&>	1	43	0	1	
0040e090	_Dest_val<std::allocator<CIVCountedPointer<N3DPrimitive::CTriangleList>_>,CIVCountedPointer<N3DPrimitive::CTriangleList>_>	1	27	0	1	
0040e0d0	fill<CArray<unsigned_short>*,CArray<unsigned_short>_>	1	37	0	1	
0040e130	FUN_0040e130	0	43	0	1	
0040e160	AddChildPrimitive	1	3	0	1	
0040e170	FUN_0040e170	0	112	0	1	
0040e1e0	GetDefaultVal<CCharString>	1	39	0	1	
0040e250	GetCombatMinDistance	1	7	0	1	
0040e290	_Copy_impl<std::pair<CCharString,CCharString>*,std::pair<class_CCharString,class_CCharString>*>	1	53	0	1	
0040e2d0	_Copy_impl<CActionInputControl*,CActionInputControl*>	1	72	0	1	
0040e350	_Copy_impl<CActionInputControl*,CActionInputControl*>	1	72	0	1	
0040e510	TransferIn	1	209	0	1	
0040e630	TransferOut	1	118	0	1	
0040e710	TransferIn	1	237	0	1	
0040e840	TransferOut	1	137	0	1	
0040e9a0	_Fill<CHeroMarriageInfo*,CHeroMarriageInfo>	1	40	0	1	
0040e9d0	_Copy_impl<CActionInputControl*,CActionInputControl*>	1	72	0	1	
0040ea50	fill<ENavigatorType*,ENavigatorType>	1	31	0	1	
0040ea70	_Fill_n<unsigned_long*,unsigned_int,unsigned_long>	1	31	0	1	
0040eac0	_Fill<std::pair<float,CSubtitledMessage::CCameraTag>*,std::pair<float,class_CSubtitledMessage::CCameraTag>_>	1	67	0	1	
0040eb60	_Copy_backward<std::pair<CCharString,C3DDummyObject>*,std::pair<class_CCharString,class_C3DDummyObject>*>	1	73	0	1	
0040ec50	`vector_deleting_destructor'	1	30	0	1	
0040ed10	GetDirection	1	144	0	1	
0040efb0	TransferBinaryIn	1	109	0	1	
0040f020	LowerBound	1	60	0	1	
0040f0a0	FUN_0040f0a0	0	56	0	1	
0040f0e0	ResetDimensions	1	43	0	1	
0040f110	operator[]	1	12	0	1	
0040f170	_Dest_val<std::allocator<CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>,CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>	1	53	0	1	
0040f1b0	Reset	1	103	0	1	
0040f220	operator[]	1	12	0	1	
0040f230	_Dest_val<std::allocator<CIVCountedPointer<N3DPrimitive::CTriangleList>_>,CIVCountedPointer<N3DPrimitive::CTriangleList>_>	1	27	0	1	
0040f270	_Dest_val<std::allocator<CIVCountedPointer<N3DPrimitive::CTriangleList>_>,CIVCountedPointer<N3DPrimitive::CTriangleList>_>	1	27	0	1	
0040f290	_Dest_val<std::allocator<CIVCountedPointer<N3DPrimitive::CTriangleList>_>,CIVCountedPointer<N3DPrimitive::CTriangleList>_>	1	27	0	1	
0040f2c0	OnReadFinished	1	14	0	1	
0040f390	FUN_0040f390	0	58	0	1	
0040f470	FreeBuffer	1	46	0	1	
0040f4a0	FUN_0040f4a0	0	187	0	1	
0040f560	OnKill	1	48	0	1	
0040f5b0	_Fill_n<unsigned_long*,unsigned_int,unsigned_long>	1	42	0	1	
0040f5e0	_Copy_impl<C2DLineF*,C2DLineF*>	1	56	0	1	
0040f6b0	FUN_0040f6b0	0	218	0	1	
0040f7e0	TransferIn	1	135	0	1	
0040f8a0	TransferBinaryIn	1	129	0	1	
0040f9d0	TransferOut	1	72	0	1	
0040fa20	TransferOut	1	287	0	1	
0040fbd0	_Dest_val<std::allocator<CIVCountedPointer<N3DPrimitive::CTriangleList>_>,CIVCountedPointer<N3DPrimitive::CTriangleList>_>	1	27	0	1	
0040fbf0	FUN_0040fbf0	0	49	0	1	
0040fc50	_Copy_impl<std::pair<float,CSubtitledMessage::CCameraTag>*,std::pair<float,class_CSubtitledMessage::CCameraTag>*>	1	74	0	1	
0040fca0	GFSerialiseVectorBinaryOut<CActionInputControl>	1	145	0	1	
0040fd40	GFSerialiseVectorBinaryOut<float>	1	55	0	1	
0040fe60	TransferBinaryIn	1	129	0	1	
0040fef0	TransferBinaryIn	1	129	0	1	
0040ff80	_Copy_impl<std::pair<float,CSubtitledMessage::CCameraTag>*,std::pair<float,class_CSubtitledMessage::CCameraTag>*>	1	74	0	1	
00410120	TransferBinaryIn	1	468	0	1	
00410460	FUN_00410460	0	87	0	1	
00410550	FUN_00410550	0	67	0	1	
00410620	Transfer<signed_char>	1	27	0	1	
004106f0	Transfer<signed_char>	1	27	0	1	
004107c0	GetCellBoundingBox	1	30	0	1	
