# revert map: restores default names if needed
00ad3720	FUN_00ad3720
00ad4810	FUN_00ad4810
00adc190	FUN_00adc190
00b10360	FUN_00b10360
00bda090	FUN_00bda090
00c069d0	FUN_00c069d0
00c0bd60	FUN_00c0bd60
00c4dbe0	FUN_00c4dbe0
00c52e40	FUN_00c52e40
00c8cd30	FUN_00c8cd30
00c8d690	FUN_00c8d690
00c908e0	FUN_00c908e0
00c917b0	FUN_00c917b0
00cb0bc0	FUN_00cb0bc0
00e80d60	FUN_00e80d60
0042d2c6	FUN_0042d2c6
00446b40	FUN_00446b40
00446b90	FUN_00446b90
0045dd2c	FUN_0045dd2c
00471e44	FUN_00471e44
004ac4b0	FUN_004ac4b0
004ad690	FUN_004ad690
00512ce0	FUN_00512ce0
00513700	FUN_00513700
005149f0	FUN_005149f0
00515320	FUN_00515320
005178a0	FUN_005178a0
00521eb0	FUN_00521eb0
005692b0	FUN_005692b0
0057fcdd	FUN_0057fcdd
0058119b	FUN_0058119b
00592f92	FUN_00592f92
006650e0	FUN_006650e0
0066c3f0	FUN_0066c3f0
00681e60	FUN_00681e60
0069d900	FUN_0069d900
006b58f0	FUN_006b58f0
006b6840	FUN_006b6840
006ba420	FUN_006ba420
006c4060	FUN_006c4060
006d73d0	FUN_006d73d0
006f2680	FUN_006f2680
0070ec30	FUN_0070ec30
007119c0	FUN_007119c0
00738980	FUN_00738980
007398b0	FUN_007398b0
0076a0a0	FUN_0076a0a0
0076fb00	FUN_0076fb00
0076ff90	FUN_0076ff90
007acc90	FUN_007acc90
007c2b30	FUN_007c2b30
007cab30	FUN_007cab30
007dc350	FUN_007dc350
007f9830	FUN_007f9830
008066a0	FUN_008066a0
00809270	FUN_00809270
008270e0	FUN_008270e0
008369f0	FUN_008369f0
00841640	FUN_00841640
0085de40	FUN_0085de40
00861e60	FUN_00861e60
008839e0	FUN_008839e0
008899c0	FUN_008899c0
00916d50	FUN_00916d50
00920ff0	FUN_00920ff0
0099b9a0	FUN_0099b9a0
009ab560	FUN_009ab560
009b6300	FUN_009b6300
009b71b0	FUN_009b71b0
009be060	FUN_009be060
009c2e30	FUN_009c2e30
009ce180	FUN_009ce180
009e3f60	FUN_009e3f60
009e4a20	FUN_009e4a20
009e5c90	FUN_009e5c90
00a1de30	FUN_00a1de30
00a229e0	FUN_00a229e0
00a37b50	FUN_00a37b50
00a49c60	FUN_00a49c60
00a4a710	FUN_00a4a710
00a571a0	FUN_00a571a0
00a580f0	FUN_00a580f0
00a825d0	FUN_00a825d0
00aa84f0	FUN_00aa84f0
00adce60	FUN_00adce60
00b15bd0	FUN_00b15bd0
00c0c0c0	FUN_00c0c0c0
00c2d7d0	FUN_00c2d7d0
00c3aa50	FUN_00c3aa50
00c3c8c0	FUN_00c3c8c0
00c3c9e0	FUN_00c3c9e0
00c4d960	FUN_00c4d960
00c55aa0	FUN_00c55aa0
00c56090	FUN_00c56090
00c8dfb0	FUN_00c8dfb0
00cb2c60	FUN_00cb2c60
00cb67b0	FUN_00cb67b0
00cb7140	FUN_00cb7140
00cba580	FUN_00cba580
00cbb710	FUN_00cbb710
00cbbeb0	FUN_00cbbeb0
00cff9a0	FUN_00cff9a0
00d17470	FUN_00d17470
00df3e50	FUN_00df3e50
00dfc320	FUN_00dfc320
00f26920	FUN_00f26920
00f27200	FUN_00f27200
00f27bc0	FUN_00f27bc0
00415fd3	FUN_00415fd3
00440f00	FUN_00440f00
0045ca09	FUN_0045ca09
0045df1e	FUN_0045df1e
004649a3	FUN_004649a3
0046eecf	FUN_0046eecf
0047ba50	FUN_0047ba50
0047bb90	FUN_0047bb90
0048e072	FUN_0048e072
004b2ca0	FUN_004b2ca0
004b8ff0	FUN_004b8ff0
004bb270	FUN_004bb270
004be4e0	FUN_004be4e0
004c4490	FUN_004c4490
004d2760	FUN_004d2760
004f9207	FUN_004f9207
00514eb0	FUN_00514eb0
00517a10	FUN_00517a10
005295b0	FUN_005295b0
00533bc0	FUN_00533bc0
0053cb4f	FUN_0053cb4f
0053cb9b	FUN_0053cb9b
00579114	FUN_00579114
0057914c	FUN_0057914c
0057926b	FUN_0057926b
005c0436	FUN_005c0436
005c1ecc	FUN_005c1ecc
005c552c	FUN_005c552c
005e1f30	FUN_005e1f30
005e3ad0	FUN_005e3ad0
00626e40	FUN_00626e40
0062e190	FUN_0062e190
00637a10	FUN_00637a10
00658e38	FUN_00658e38
006604eb	FUN_006604eb
0066a920	FUN_0066a920
00682140	FUN_00682140
006821e0	FUN_006821e0
00696900	FUN_00696900
00696970	FUN_00696970
0069d3d0	FUN_0069d3d0
006a1230	FUN_006a1230
006a8af0	FUN_006a8af0
006aedc0	FUN_006aedc0
006b6010	FUN_006b6010
006c77e0	FUN_006c77e0
006dae40	FUN_006dae40
006ef790	FUN_006ef790
006f20a0	FUN_006f20a0
00738a00	FUN_00738a00
00738d70	FUN_00738d70
0073e0d0	FUN_0073e0d0
007597c0	FUN_007597c0
00765b70	FUN_00765b70
00766c00	FUN_00766c00
0077e580	FUN_0077e580
0078e3f0	FUN_0078e3f0
00793a00	FUN_00793a00
007afd10	FUN_007afd10
007f9f00	FUN_007f9f00
00802190	FUN_00802190
0080ec50	FUN_0080ec50
00814c70	FUN_00814c70
008158d0	FUN_008158d0
00835560	FUN_00835560
0083aea0	FUN_0083aea0
0083f650	FUN_0083f650
0084e1a0	FUN_0084e1a0
00856e50	FUN_00856e50
00869bb0	FUN_00869bb0
008814c0	FUN_008814c0
008acd30	FUN_008acd30
009130d0	FUN_009130d0
00982eb0	FUN_00982eb0
00982f10	FUN_00982f10
00982f70	FUN_00982f70
009902d0	FUN_009902d0
009964e0	FUN_009964e0
0099d470	FUN_0099d470
009ad2e0	FUN_009ad2e0
009b02e0	FUN_009b02e0
009b40f0	FUN_009b40f0
009b84c0	FUN_009b84c0
009b8520	FUN_009b8520
009b85a0	FUN_009b85a0
009b8ef0	FUN_009b8ef0
009cd620	FUN_009cd620
009e2460	FUN_009e2460
009e7e40	FUN_009e7e40
009ebc00	FUN_009ebc00
009f83d0	FUN_009f83d0
00a2b9d0	FUN_00a2b9d0
00a2dc20	FUN_00a2dc20
00a44740	FUN_00a44740
00a7f830	FUN_00a7f830
00a80b80	FUN_00a80b80
00a83170	FUN_00a83170
00a83a30	FUN_00a83a30
00a85420	FUN_00a85420
00aabca0	FUN_00aabca0
00abeb40	FUN_00abeb40
00ad3300	FUN_00ad3300
00ad3fb0	FUN_00ad3fb0
00ae7f30	FUN_00ae7f30
00b441f0	FUN_00b441f0
