address	current_name	reason	category
006f0af0	ObjHolder_AllocStore_0x20_006f0af0	ambiguous-or-no-donor-match	initializer-destructor
006f0b60	ObjHolder_AllocStore_0x88_006f0b60	ambiguous-or-no-donor-match	initializer-destructor
006f0b90	ObjHolder_AllocStore_0x18_006f0b90	ambiguous-or-no-donor-match	initializer-destructor
006f0c00	ObjHolder_AllocStore_0x18_006f0c00	ambiguous-or-no-donor-match	initializer-destructor
006f18f0	ListHead_InitCircular_0xc_006f18f0	ambiguous-or-no-donor-match	allocator-wrapper
006f1a50	TreeHeader_InitSentinel_0x20_006f1a50	ambiguous-or-no-donor-match	allocator-wrapper
006f1ae0	TreeHeader_InitSentinel_0x88_006f1ae0	ambiguous-or-no-donor-match	allocator-wrapper
006f1b20	TreeHeader_InitSentinel_0x18_006f1b20	ambiguous-or-no-donor-match	allocator-wrapper
006f1b60	TreeHeader_InitSentinel_0x18_006f1b60	ambiguous-or-no-donor-match	allocator-wrapper
006f23a0	TreeHeader_InitSentinel_0x20_006f23a0	ambiguous-or-no-donor-match	allocator-wrapper
00718e80	ListHead_InitCircular_0x10_00718e80	ambiguous-or-no-donor-match	allocator-wrapper
00718ea0	ListHead_InitCircular_0x10_00718ea0	ambiguous-or-no-donor-match	allocator-wrapper
00719180	ListHead_InitCircular_0x10_00719180	ambiguous-or-no-donor-match	allocator-wrapper
00719690	ListHead_InitCircular_0x10_00719690	ambiguous-or-no-donor-match	allocator-wrapper
0071f860	ObjHolder_AllocStore_0x34_0071f860	ambiguous-or-no-donor-match	initializer-destructor
007298e0	ListHead_InitCircular_0x1c_007298e0	ambiguous-or-no-donor-match	allocator-wrapper
00729940	ListHead_InitCircular_0x1c_00729940	ambiguous-or-no-donor-match	allocator-wrapper
0072d480	ListHead_InitCircular_0x1c_0072d480	ambiguous-or-no-donor-match	allocator-wrapper
0072d8f0	ListHead_InitCircular_0x1c_0072d8f0	ambiguous-or-no-donor-match	allocator-wrapper
00737f50	ObjHolder_AllocStore_0x24_00737f50	ambiguous-or-no-donor-match	initializer-destructor
0073db00	ListHead_InitCircular_0x10_0073db00	ambiguous-or-no-donor-match	allocator-wrapper
00743200	ListHead_InitCircular_0x10_00743200	ambiguous-or-no-donor-match	allocator-wrapper
00755e50	ObjHolder_AllocStore_0x1c_00755e50	ambiguous-or-no-donor-match	initializer-destructor
00758ae0	ListHead_InitCircular_0x4c_00758ae0	ambiguous-or-no-donor-match	allocator-wrapper
00758d90	ListHead_InitCircular_0x4c_00758d90	ambiguous-or-no-donor-match	allocator-wrapper
0075f780	ListHead_InitCircular_0xc_0075f780	ambiguous-or-no-donor-match	allocator-wrapper
0075f830	ObjHolder_FreeAndDelete_0075f830	ambiguous-or-no-donor-match	initializer-destructor
007602f0	Math_PolygonAngleSumClosureCheck	ambiguous-or-no-donor-match	semantic-logic
007695f0	ObjHolder_AllocStore_0x20_007695f0	ambiguous-or-no-donor-match	initializer-destructor
00769f30	TreeHeader_InitSentinel_0x20_00769f30	ambiguous-or-no-donor-match	allocator-wrapper
