vtable_base	offset	slot_address	target_address	name	mangled	manifest_name	forge_scope
01238c8c	0xe0	01238d6c	004aaf00	MsgPerformedFlourish	?MsgPerformedFlourish@CScriptThing@@UBE_NXZ	CScriptThing::MsgPerformedFlourish	
01238c8c	0xe4	01238d70	004aaf20	MsgPerformedSuccessfulFlourish	?MsgPerformedSuccessfulFlourish@CScriptThing@@UBE_NXZ	CScriptThing::MsgPerformedSuccessfulFlourish	
01238c8c	0xe8	01238d74	004aaf40	MsgOnMoralityChanged	?MsgOnMoralityChanged@CScriptThing@@UBE_NAAJ@Z	CScriptThing::MsgOnMoralityChanged	
01238c8c	0xec	01238d78	004aaf60	MsgOnCutSceneAnimEvent	?MsgOnCutSceneAnimEvent@CScriptThing@@UBE_NAAVCCharString@@@Z	?MsgOnCutSceneAnimEvent@CScriptThing@@UBE_NAAVCCharString@@@Z	
01238c8c	0xf0	01238d7c	004aaf80	MsgIsKicked	?MsgIsKicked@CScriptThing@@UBE_NXZ	CScriptThing::MsgIsKicked	Entity
01238c8c	0xf4	01238d80	004aafa0	IsUnconscious	?IsUnconscious@CScriptThing@@UBE_NXZ	CScriptThing::IsUnconscious	Entity
01238c8c	0xf8	01238d84	004aafc0	IsUsable	?IsUsable@CScriptThing@@UBE_NXZ	CScriptThing::IsUsable	
01238c8c	0xfc	01238d88	004aafe0	IsBeingCarriedBy	?IsBeingCarriedBy@CScriptThing@@UBE_NABVCCharString@@@Z	CScriptThing::IsBeingCarriedBy	
01238c8c	0x100	01238d8c	004ab000	IsOpenDoor	?IsOpenDoor@CScriptThing@@UBE_NXZ	?IsOpenDoor@CScriptThing@@UBE_NXZ	Entity
01238c8c	0x104	01238d90	004ab020	IsSummonedCreature	?IsSummonedCreature@CScriptThing@@UBE_NXZ	CScriptThing::IsSummonedCreature	
01238c8c	0x108	01238d94	004ab040	SetAsUsable	?SetAsUsable@CScriptThing@@UAEX_N@Z	CScriptThing::SetAsUsable	Entity
01238c8c	0x10c	01238d98	004ab060	SetFriendsWithEverythingFlag	?SetFriendsWithEverythingFlag@CScriptThing@@UAEX_N@Z	CScriptThing::SetFriendsWithEverythingFlag	Entity
01238c8c	0x110	01238d9c	004ab080	GetActivationTriggerStatus	?GetActivationTriggerStatus@CScriptThing@@UBE_NXZ	CScriptThing::GetActivationTriggerStatus	
01238c8c	0x114	01238da0	004ab0a0	SetActivationTriggerStatus	?SetActivationTriggerStatus@CScriptThing@@UAEX_N@Z	CScriptThing::SetActivationTriggerStatus	Entity
01238c8c	0x118	01238da4	004ab0c0	SetToKillOnLevelUnload	?SetToKillOnLevelUnload@CScriptThing@@UAEX_N@Z	?SetToKillOnLevelUnload@CScriptThing@@UAEX_N@Z	Entity
01238c8c	0x11c	01238da8	004ab0e0	UpdateThingAttachment	?UpdateThingAttachment@CScriptThing@@UAEXXZ	CScriptThing::UpdateThingAttachment	
01238c8c	0x120	01238dac	004ab0f0	IncrementScriptCounter	?IncrementScriptCounter@CScriptThing@@UAEXXZ	CScriptThing::IncrementScriptCounter	
01238c8c	0x124	01238db0	004ab100	DecrementScriptCounter	?DecrementScriptCounter@CScriptThing@@UAEXXZ	CScriptThing::DecrementScriptCounter	
01238c8c	0x128	01238db4	004ab110	GetScriptCounter	?GetScriptCounter@CScriptThing@@UAEJXZ	CScriptThing::GetScriptCounter	
01238c8c	0x12c	01238db8	004ab130	IsAlive	?IsAlive@CScriptThing@@UBE_NXZ	?IsAlive@CScriptThing@@UBE_NXZ	Entity
01238c8c	0x130	01238dbc	004aa890	IsDead	?IsDead@CScriptThing@@UBE_NXZ	CScriptThing::IsDead	Entity
01238c8c	0x134	01238dc0	004ab150	IsNull	?IsNull@CScriptThing@@UBE_NXZ	?IsNull@CScriptThing@@UBE_NXZ	Entity
01238c8c	0x138	01238dc4	004aa8a0	IsEqualTo	?IsEqualTo@CScriptThing@@MBE_NABV1@@Z	CScriptThing::IsEqualTo	
